Category,Customer 1,Harrys 1,Customer 2,Harrys 2,Customer 3,Harrys 3,Customer 4,Harrys 5
Returns,How do I return an item?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason, just let us know so that we can help you return your products within 30 days of receipt for a full refund. ",,,,,,
Returns,"I want to return the Truman but it is outside of your return policy window, can I get a credit?","10x here! What is your phone number or email address, let's see what we can do for you.",917-825-9441,"Thank you, I've found your order and am passing you onto an agent who can help. ",,,,
Returns,"I am just outside of the return window, can you make an exception? I am a great customer!","10x here! What is your phone number or email address, let's see what we can do for you.",917-825-9441,"Thank you, I've found your order and am passing you onto an agent who can help. ",,,,
Returns,"The product doesn't look in person as it looks online, I want to return / exchange it for a different color/size","10x here! What is your phone number or email address, let's see what we can do for you.",917-825-9441,"Thank you, I've found your order and am passing you onto an agent who can help. ",,,,
Returns,How do I return an item?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

What is your email address or phone number so I can help you start your return?",917-825-9441,"Thank you, looks like your last order was on 4/1/17 and was for a orange Truman razor.  

Is this the order you want to return? ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
Returns,Do you allow returns?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

What is your email address or phone number so I can help you start your return?",917-825-9441,"Thank you, looks like your last order was on 4/1/17 and was for a orange Truman razor.  

Is this the order you want to return? ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
Returns,Do you accept return?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

What is your email address or phone number so I can help you start your return?",917-825-9441,"Thank you, looks like your last order was on 4/1/17 and was for a orange Truman razor.  

Is this the order you want to return? ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
Returns,I've had the razor for 3 months since 12.25.16 can I still return it?,"We love the products we’ve made, and we think you will too. 3 months is longer than our standard return policy, but I'm happy to help you sort this out.",917-825-9441,"Thank you, I've found your order and am passing you onto an agent who can help. ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
Returns,Can I get a refund if I return?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason, you can return your products within 30 days of receipt for a full refund. 

What is your email address or phone number so I can help you start your return?",917-825-9441,"Thank you, looks like your last order was on 4/1/17 and was for a orange Truman razor.  

Is this the order you want to return? ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
Returns,"I'd like to return the Truman, how do I send it back?","We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

What is your email address or phone number so I can help you start your return?",917-825-9441,"Thank you, looks like your last order was on 4/1/17 and was for a orange Truman razor.  

Is this the order you want to return? ",Yes. ,Can you let us know why you were unhappy with your order? Would you like to try the Winston instead? The Winston has a metal core and is coated in chrome with strategically placed rubberized grips for even more control while you shave!,"Yes, I'd love the Winston!","Great, we've processed your exchange for the Winston. It's on its way! 

You will find the return label for the Truman in the delivery box. Please return at your earliest convenience. Please note you will be credited immediately as a courtesy. "
