Category,Question,Harrys Response,Clarifying question for agent response
Returns,What is your return policy?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason, just let us know so that we can help you return your products within 30 days of receipt for a full refund. 

It's helpful to remember it does take some time to adjust to a new shave system. Experimenting with the angle and pressure should help you find the right approach to giving you a great shave with our razor.",
Returns,"I want to return X but it is outside of the return window, can I get a credit?",,"10x here! What's your number, let's see what we can do for you"
Returns,"I am just outside of the return window, can you make an exception? I am a great customer!",,"10x here! What's your number, let's see what we can do for you"
Returns,"The product doesn't look in person as it looks online, I want to return / exchange it for a different color/size",,"10x here! What's your number, let's see what we can do for you"
Returns,How do I return an item?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return. ",
Returns,Do you allow returns?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return. ",
Returns,Do you accept return?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return and refund you.",
Returns,I've had the razor for 3 months since 12.25.16 can I still return it?,"We love the products we’ve made, and we think you will too. 3 months is longer than our standard return policy, but I'm happy to help you sort this out.",
Returns,Can I get a refund if I return?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason, you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return and refund you.",
Returns,"I'd like to return product x, how do I send it back?","We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason, you can return your products within 30 days of receipt for a full refund.

I'm happy to help you start your return.",
Returns,do I get a credit to my account if I return?,"We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return and refund.",
Returns,"It doesn't work, I want to return this","We love the products we’ve made, and we think you will too. If, after 5-8 shaves, you find that you're unhappy for any reason,you can return your products within 30 days of receipt for a full refund. 

I'm happy to help you start your return and refund.",
